,name,album,artist,release_date,popularity,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
58,It Ain't Me (with Selena Gomez),It Ain't Me (with Selena Gomez),Kygo,2017-02-16,75,3eR23VReFzcdmS7TYCrhCe,0.64,0.533,0,-6.596,1,0.0706,0.119,0.0,0.0864,0.515,99.968,220781,4
59,Don't Let Me Down,Don't Let Me Down,The Chainsmokers,2016-02-05,78,1i1fxkWeaMmKEB4T7zqbzK,0.532,0.869,11,-5.094,1,0.172,0.157,0.00508,0.136,0.422,159.803,208373,4
60,Applause,ARTPOP,Lady Gaga,2013-01-01,0,2Zj4FUsMtu9PMuJsHbGbdv,0.669,0.78,7,-4.287,0,0.053,0.0265,1.63e-06,0.143,0.738,139.945,212333,4
61,Fuck Shit,Fuck Shit,870glizzy,2021-03-18,58,0X0gB0LbLAoNbbWHfRXzq6,0.712,0.528,2,-6.008,1,0.324,0.0103,2.48e-05,0.163,0.563,165.021,122182,5
62,Quagen,AHEAD OF MY TIME,Bay Swag,2022-02-28,37,0BeTioLGZF2NmHNZKJOzsJ,0.788,0.566,9,-9.045,0,0.303,0.107,0.0,0.0971,0.628,156.087,109776,4
63,Roar,PRISM (Deluxe),Katy Perry,2013-10-18,72,6F5c58TMEs1byxUstkzVeM,0.554,0.772,7,-4.821,0,0.0418,0.00487,6.6e-06,0.354,0.455,179.984,223546,4
64,Love/Hate,Love/Hate,Millyz,2022-04-13,48,7s535w6NXxctKFuA2nMmjc,0.605,0.609,4,-8.063,0,0.295,0.127,0.0,0.155,0.205,117.292,180331,5
65,The Greatest (feat. Kendrick Lamar),This Is Acting (Deluxe Version),Sia,2016-10-21,68,7xHWNBFm6ObGEQPaUxHuKO,0.668,0.725,1,-6.127,1,0.266,0.0102,0.000479,0.0561,0.729,191.944,210227,4
66,Fuck Love,Fuck Love,Bankrol Hayden,2022-04-08,62,3FcsP46yuD5OhisPkp0jFT,0.84,0.537,7,-6.658,1,0.0426,0.207,1.32e-06,0.0956,0.775,103.983,138213,4
67,The Only Exception,Brand New Eyes,Paramore,2009-09-28,71,7JIuqL4ZqkpfGKQhYlrirs,0.452,0.563,4,-6.607,1,0.0272,0.144,0.0,0.143,0.209,137.715,267653,3
68,Steppin,Steppin,Will Roush,2018-04-24,39,2hXiajsTG6CW9yDHVA7PZW,0.784,0.641,0,-5.387,1,0.108,0.197,0.00022,0.109,0.703,85.023,206823,4
69,...Baby One More Time,...Baby One More Time (Digital Deluxe Version),Britney Spears,1999-01-12,77,3MjUtNVVq3C8Fn0MP3zhXa,0.759,0.699,0,-5.745,0,0.0307,0.202,0.000131,0.443,0.907,92.96,211067,4
70,No Money,The Aviary,Galantis,2017-09-15,68,6M6Tk58pQvABy6ru66dY3d,0.674,0.915,6,-3.999,0,0.0411,0.0282,0.00337,0.273,0.78,126.038,191293,4
71,Living in Fertile Experiences,Living in Fertile Experiences,Diggis,2021-11-12,26,4VAiPs6xcsyUkyy9uBl6TC,0.67,0.679,5,-6.762,1,0.259,0.155,0.0,0.271,0.295,93.064,184320,4
72,TiK ToK,Animal (Expanded Edition),Kesha,2010-01-01,80,0HPD5WQqrq7wPWR7P7Dw1i,0.755,0.837,2,-2.718,0,0.142,0.0991,0.0,0.289,0.714,120.028,199693,4
73,Demar Derozan Freestyle,Demar Derozan Freestyle,Flight,2022-04-20,39,2rfHoeGgVGZUorRwyBryZU,0.841,0.692,7,-10.048,1,0.398,0.126,0.0,0.172,0.559,89.964,100000,4
74,Fix You,X&Y,Coldplay,2005-06-07,80,7LVHVU3tWfcxj5aiPFEW4Q,0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,295533,4
75,Sleepless,Sleepless,Ducey Gold,2022-04-15,39,7eT1Ith3JS1zhciYIS38MW,0.742,0.569,5,-7.853,1,0.114,0.00588,0.0,0.557,0.0612,156.975,149287,4
76,How to Be a Heartbreaker,How to Be a Heartbreaker,MARINA,2012-09-26,50,0AfYeE3bfJRcq9J2hUJXmM,0.69,0.897,11,-4.696,0,0.0506,0.0142,0.0,0.108,0.849,140.05,221493,4
78,Call Me Maybe,Kiss,Carly Rae Jepsen,2012-01-01,78,20I6sIOMTCkB6w7ryavxtO,0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,193400,4
79,R.T.T.B,2 Effortless,E the profit,2022-04-22,41,40NuHUtRB6oedbFV1O2Rph,0.881,0.22,7,-19.769,1,0.381,0.00654,0.0,0.137,0.406,148.022,130135,4
80,I Knew You Were Trouble.,Red (Big Machine Radio Release Special),Taylor Swift,2012-10-22,76,6FB3v4YcR57y4tXFcdxI1E,0.622,0.469,3,-6.798,0,0.0363,0.00454,2.25e-06,0.0335,0.679,77.019,219720,4
81,Just a Dream,Just a Dream,moss.,2022-04-22,33,4L7NsEM1sDNtwQdox4RYc3,0.789,0.286,5,-10.576,0,0.0517,0.345,0.0,0.255,0.349,115.991,173793,4
82,Be Your Man Tonight,Be Your Man Tonight,Dilan Jay,2022-04-08,45,2WqpHmTPw3J56lp3JYVSar,0.635,0.574,9,-5.988,0,0.0327,0.0417,0.000346,0.171,0.298,89.98,205220,4
83,The Scientist,A Rush of Blood to the Head,Coldplay,2002-08-08,82,75JFxkI2RXiU7L9VXzMkle,0.557,0.442,5,-7.224,1,0.0243,0.731,1.46e-05,0.11,0.213,146.277,309600,4
84,what if?,what if?,eli.,2022-04-15,46,7fGu8LQEMFpf2WpbDX4eeV,0.711,0.115,2,-13.883,1,0.0448,0.593,0.0,0.149,0.259,119.842,208500,3
85,Diamonds,Unapologetic (Edited Version),Rihanna,2012-12-10,0,6tl8Ghkzp7e5xQuwI7AhEH,0.555,0.715,11,-4.821,0,0.0468,0.00192,0.0,0.114,0.402,91.951,225147,4
86,Lost My Baby,Lost My Baby,Zach Paradis,2022-04-15,34,2rp688WFTGrWdUkxe7Y8O9,0.698,0.776,4,-4.584,0,0.0425,0.00583,0.0,0.216,0.635,123.899,194186,4
87,The Lazy Song,Doo-Wops & Hooligans,Bruno Mars,2010-10-05,71,1ExfPZEiahqhLyajhybFeS,0.794,0.711,8,-5.124,0,0.0699,0.3,0.0,0.0955,0.955,174.915,189109,4
88,Hold Up,Hold Up,Hai Shawn Martin,2022-03-04,38,3izjreR7la7IQGQKWp8Dkw,0.778,0.511,7,-7.024,1,0.0428,0.482,1.15e-05,0.111,0.238,100.025,202013,4
89,Broken Love,Broken Love,Mariline,2020-11-13,39,6YVwfOA1i0aLivDlrLaHOC,0.578,0.939,6,-3.676,1,0.0654,0.00421,0.231,0.521,0.216,128.12,136875,4
90,Gold Digger,Late Registration,Kanye West,2005-01-01,0,5XJJdNPkwmbUwE79gv0NxK,0.646,0.696,1,-5.572,0,0.342,0.0192,0.0,0.0762,0.625,92.88,207401,4
91,U&I,U&I,Rax,2022-03-25,34,2HZ78xJzSn2omSyUYtyOYd,0.67,0.658,5,-5.744,1,0.238,0.172,0.0,0.0998,0.336,83.985,162933,4
92,Fountain,Fountain,MackTriller,2022-03-07,33,5TbpEjvsS4pDdrDEOPOi2Q,0.573,0.761,4,-6.315,1,0.148,0.0664,0.0,0.353,0.587,139.95,123608,4
93,What You Like,What You Like,LouGotCash,2022-04-01,47,55R5ND8blGFjU46ZZ76Kod,0.521,0.487,9,-8.05,1,0.338,0.42,0.0,0.21,0.436,148.165,142759,4
94,Heathens,Heathens,Twenty One Pilots,2016-06-16,79,6i0V12jOa3mr6uu4WYhUBr,0.732,0.396,4,-9.348,0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,195920,4
95,I'm Not The Only One,In The Lonely Hour,Sam Smith,2014-01-01,0,0fioLzGM8ngbD1w6fMmm45,0.453,0.496,5,-5.785,1,0.0453,0.554,2.65e-05,0.0772,0.501,80.994,239317,4
96,Sign of the Times,Harry Styles,Harry Styles,2017-05-12,82,5Ohxk2dO5COHF1krpoPigN,0.516,0.595,5,-4.63,1,0.0313,0.0275,0.0,0.109,0.222,119.972,340707,4
97,LIFE OF THE PARTY,LIFE OF THE PARTY,Cezur III,2022-04-08,41,5w6Lrtl1RcgPSNVU4HeUoT,0.498,0.599,8,-7.835,0,0.0372,0.0577,5.49e-05,0.138,0.286,78.712,201783,4
98,Fuck You,"It's Not Me, It's You",Lily Allen,2009-01-26,60,5st5644IlBmKiiRE73UsoZ,0.775,0.904,1,-4.08,0,0.0437,0.0271,0.000303,0.06,0.84,130.009,219893,4
99,Next Up (with iayze),Next Up (with iayze),NxG,2022-04-22,38,0UCVabuYKasga22sllF4DB,0.674,0.483,2,-9.491,1,0.121,0.0236,1.69e-06,0.109,0.411,159.961,120031,4
0,Oh my god,I trust,(G)I-DLE,2020-04-06,67,2DmRXiyn03tOqKgEJXlaiJ,0.794,0.762,4,-3.525,0,0.0392,0.0358,1.41e-06,0.191,0.482,109.97,195867,4
1,LOVE DIVE,LOVE DIVE,IVE,2022-04-05,84,0Q5VnK2DYzRyfqQRJuUtvi,0.703,0.709,1,-4.169,0,0.0433,0.00379,5.43e-05,0.333,0.538,117.941,177187,4
2,Back Door,IN LIFE,Stray Kids,2020-09-14,52,3KUGAgxo3b81X5bWoOp0U8,0.82,0.842,7,-3.853,1,0.272,0.157,0.0,0.112,0.653,107.952,189287,4
3,Feel My Rhythm,‘The ReVe Festival 2022 - Feel My Rhythm’,Red Velvet,2022-03-21,82,2oBMZYteeO8DyXV9gDx6Za,0.412,0.94,1,-2.171,1,0.215,0.0648,0.0,0.358,0.423,157.964,210253,4
4,My Universe,Music Of The Spheres,Coldplay,2021-10-15,83,46HNZY1i7O6jwTA7Slo2PI,0.573,0.711,1,-6.268,0,0.0406,0.0114,0.0,0.328,0.47,105.006,226198,4
